,id,age_min,age_max,country,city,main_activity,hobbies,education,university,gender,language,purpose,search_info
0,1,19,42,Russia,Москва,Literature,"Astronomy, Marketing",Yes,No info,0,French,Friends,She buy seat whose outside agreement model important.
1,2,24,47,Russia,Online,Business,"Python, UX/UI",Yes,No info,0,German,Research,Commercial son dark stand.
2,3,23,46,Russia,Online,Programming,"Python, Marketing",No,No info,0,German,Project,Reality measure message strategy military serve.
3,4,22,50,Russia,Санк-Петербург,Music,"Astronomy, Photography",Yes,No info,0,Russian,Co-founders,Test partner soon.
4,5,20,32,Russia,Казань,Programming,"Data Science, UX/UI",Yes,No info,1,German,Study help,Question artist early hospital question bring.
5,6,20,39,Russia,Online,Programming,"Astronomy, Data Science",No,No info,1,Spanish,Co-founders,Reach get huge bar send.
6,7,25,46,Russia,Online,Business,"Data Science, Chess",Yes,No info,0,Spanish,Co-founders,Current thing church staff each effort assume.
7,8,22,40,Russia,Краснодар,Sports,"Photography, Python",Yes,No info,1,German,Study help,Meet dog few media we friend various sure.
8,9,25,31,Russia,Краснодар,Literature,"Wine tasting, Astronomy",Yes,No info,0,German,Co-founders,Catch shake water trouble against national though eight.
9,10,25,50,Russia,Казань,Science,"UX/UI, Painting",No,No info,0,Spanish,Co-founders,Wonder image them clearly policy lot yes TV.
